id,Source,Page_URL,Followers,Date,Time,Time Zone,Interactions,Post Type,Post_Message,Post_Link
"520","Blacktivist","Facebook.com/Blacktivists","266051","2017-03-09","15:55:01","GMT-0500","66313","Facebook","Listen to these young Kings.","https://www.facebook.com/blacktivists/posts/417697558573346\"
"521","Blacktivist","Facebook.com/Blacktivists","249147","2017-02-14","08:00:02","GMT-0500","60770","Facebook","This video may bring tears to your eyes. Make it go viral. We need this unity in our communities.","https://www.facebook.com/blacktivists/posts/406643263012109\"
"522","Blacktivist","Facebook.com/Blacktivists","127657","2016-07-31","11:00:00","GMT-0400","60129","Facebook","This is our reality. This is what black people have to go through. Instead of getting better it`s getting worse.","https://www.facebook.com/blacktivists/posts/305190193157417\"
"523","Blacktivist","Facebook.com/Blacktivists","159516","2016-09-07","12:00:00","GMT-0400","59967","Facebook","VERY QUESTIONABLE ARREST OF TWO BLACK TEENS IN TEXAS Two female teenagers were eating at a San Antonio Whataburger last week when sheriff`s deputies racially profiled the girls and arrested them on trumped-up charges. Vanae Wright and her friend Leilani Green were about to sit down and eat the food they had just bought when police officers entered Whataburger, responding to reports of a fight in the restaurant parking lot. Apparently, the police didn?t know who started the fight, and instead of finding out, they decided to clear the whole restaurant. Luckily, the video captured the entire incident. In the video, Vanae is sitting by herself in an empty corner of the restaurant with BCSO Deputy Cynthia Hernandez standing next to her. Seconds later, a police officer throws Vanae`s food on the floor and places her in handcuffs. Then the video shows another teen walking over with Vanae`s hat and trying to put it on her head before being arrested by a second police officer. One student was arrested for criminal trespassing and the second one for interfering with the arrest. The girls spent 12 hours in jail. After the incident, Hernandez claimed she arrested Vanae because she didn`t like teen`s attitude and that the teen was being disrespectful. However, the witnesses claimed, the teens did not violate any law. But they were treated that way and then unlawfully arrested because they were black. Moreover, a deputy Hernandez did not read the girls their rights. Police officers like Cynthia Hernandez should be fired before they kill someone for being young and black.","https://www.facebook.com/blacktivists/posts/324011524608617\"
"524","Blacktivist","Facebook.com/Blacktivists","219876","2016-12-16","15:55:00","GMT-0500","56536","Facebook","This is so beautiful and precious. Father is every daughter`s first love.","https://www.facebook.com/blacktivists/posts/378691439140625\"
"525","Blacktivist","Facebook.com/Blacktivists","146316","2016-08-17","09:00:00","GMT-0400","48602","Facebook","PLEASE SHARE THIS VIDEO Newark police chased down a 10-year-old child with loaded shot guns ready to shoot him in front of his house because he matched the description of a black man with long locs. The police chased a boy into his back yard shouting ?he matches the description? and almost killed him. We pay the police to protect us from the terrorism, while they are the ones doing all the terrorism.","https://www.facebook.com/blacktivists/posts/313548402321596\"
"526","Blacktivist","Facebook.com/Blacktivists","356525","2017-06-28","10:07:35","GMT-0400","47925","Facebook","WHITE MAN ALLEGEDLY CALLED MISS BLACK TEXAS A ?BLACK B**TCH.? SHE GOT ARRESTED. A Texas school board member, Michael Beane allegedly called Miss Black Texas a ?black b**ch? then went to the Commerce Police Chief Kerry Crews, told her that Carmen Ponder ran him off the road, and got her put in jail. Crews and Beane resigned a month after they racially charged and arrested Carmen Ponder, a former Miss Black Texas. After resignation, Beane apologized for some curse words, but he also said that he has nothing else to apologize for. On May 20, Beane called the cops and told them that Ponder was driving recklessly. Then he decided to follow Ponder into Walmart parking lot where he began yelling at her and using racial slurs. When police arrived, the police chief, who was out of uniform and off-duty ordered other two uniformed cops to handcuff the woman. Ponder was taken to jail where she spent 24 hours. Later, the charges were dropped. The cellphone footage is clear. It was just another day in white America, where people continue harassing black people. Black lives did never matter in America, and they will never will. This is a prime example of why we don't trust cops and the system.","https://www.facebook.com/blacktivists/posts/474425019567266\"
"527","Blacktivist","Facebook.com/Blacktivists","286275","2017-04-03","09:00:00","GMT-0400","43240","Facebook","This hairdresser from Atlanta is amazing. She can install locs at supersonic speeds.","https://www.facebook.com/blacktivists/posts/430369333972835\"
"528","Blacktivist","Facebook.com/Blacktivists","231635","2017-02-01","21:00:00","GMT-0500","41815","Facebook","repost @ilovemelanin_","https://www.facebook.com/blacktivists/posts/400836650259437\"
"529","Blacktivist","Facebook.com/Blacktivists","231635","2017-02-01","08:00:00","GMT-0500","40596","Facebook","A 21-year-old senior at the university, Aja Sims, influenced floor routine by putting Hip-Hop in gymnastics and was praised as #BlackGirlsMagic. However, several non-black fans took offense to the proclamation.","https://www.facebook.com/blacktivists/posts/400720750271027\"
"530","Blacktivist","Facebook.com/Blacktivists","364538","2017-07-06","09:00:00","GMT-0400","39672","Facebook","This is an opportunity to celebrate black excellence and black brilliance. This is a history that we are reclaiming.","https://www.facebook.com/blacktivists/posts/479039989105769\"
"531","Blacktivist","Facebook.com/Blacktivists","345147","2017-06-18","11:00:00","GMT-0400","38051","Facebook","The best example of human ignorance.","https://www.facebook.com/blacktivists/posts/466493547027080\"
"532","Blacktivist","Facebook.com/Blacktivists","181908","2016-10-10","09:00:00","GMT-0400","35848","Facebook","Black Panthers were dismantled by US government because they were black men and women standing up for justice and equality.","https://www.facebook.com/blacktivists/posts/343308009345635\"
"533","Blacktivist","Facebook.com/Blacktivists","336549","2017-06-01","07:54:17","GMT-0400","35808","Facebook","repost @who_needs_perm","https://www.facebook.com/blacktivists/posts/459305664412535\"
"534","Blacktivist","Facebook.com/Blacktivists","255740","2017-02-21","15:55:00","GMT-0500","33754","Facebook","You won`t stop laughing if you watch this video. #FatherDaughterTalk","https://www.facebook.com/blacktivists/posts/410175399325562\"
"535","Blacktivist","Facebook.com/Blacktivists","260204","2017-02-28","08:00:03","GMT-0500","32364","Facebook","Our children have to have classes like this at schools. Every child should know about the real life of black men and women in America.","https://www.facebook.com/blacktivists/posts/413261215683647\"
"536","Blacktivist","Facebook.com/Blacktivists","200803","2016-11-21","08:00:00","GMT-0500","31907","Facebook","PLEASE SHARE THIS VIDEO. BLACK MAN HAD TO STAND IN DEFENSE OF A DISABLED BLACK WOMAN BEING HARASSED BY RICHMOND POLICE, CA. When you`ve been pulled over for no good reason, when you`ve been harassed for no good reason, when you`ve been in handcuffs for no good reason, when you`ve been shot for no good reason, you learn not to trust cops. That`s how we live in America.","https://www.facebook.com/blacktivists/posts/365248033818299\"
"537","Blacktivist","Facebook.com/Blacktivists","84484","2016-06-17","09:00:00","GMT-0400","31658","Facebook","America will not be destroyed by Muslims, undocumented workers, Blacks, Mexicans or Latinos. But rather by uncontrolled hatred, unethical politicians, misinformation and racism.","https://www.facebook.com/blacktivists/posts/284530155223421\"
"538","Blacktivist","Facebook.com/Blacktivists","344706","2017-06-17","19:00:00","GMT-0400","31191","Facebook","repost @hellomynameisking","https://www.facebook.com/blacktivists/posts/467676646908770\"
"539","Blacktivist","Facebook.com/Blacktivists","295779","2017-04-17","15:00:00","GMT-0400","28648","Facebook","Black Americans are dealing with psychopaths when it comes to police. This guy is far from civilized.","https://www.facebook.com/blacktivists/posts/438113589865076\"
"540","Blacktivist","Facebook.com/Blacktivists","186180","2016-10-21","12:00:00","GMT-0400","28025","Facebook","METRO TRANSIT COPS ARREST TEEN FOR CARRYING LOLLIPOP AND CHIPS INTO STATION Metro Transit Police are under fire for excessive use of force after a 3-minute video posted Tuesday showed police officer pushing a black girl to the ground over lollipop and a bag of chips. The video shows the 18-year-old black girl in handcuffs, surrounded by three cops outside the fare gates at Columbia Heights station. In the video, after the teen refuses to sit down, police officer hooks her arm behind her elbow and kicks backward against her calf, knocking her to the ground as bystanders filming the altercation. After the incident, the teen,18, was arrested for unlawful entry and law enforcement officer took her to a D.C. police station. According to police, the incident occurred after police asked the teen to put a bag of potato chips away. However, the teen refused to leave the station and the officer placed handcuffs on her. A police officer who arrested the teen was too rough during the arrest. Moreover, police officers didn`t use modes of communication. But instead, they used excessive physical force. Who would have thought walking through the entrance would call for being thrown around by cops? Black people are already in danger just for breathing.","https://www.facebook.com/blacktivists/posts/349443648732071\"
"541","Blacktivist","Facebook.com/Blacktivists","231457","2017-01-31","10:00:03","GMT-0500","27950","Facebook","They said our lips were too big and unattractive. Whoever said that was wrong and stupid. People are going under a knife to have lips like ours.","https://www.facebook.com/blacktivists/posts/400212516988517\"
"542","Blacktivist","Facebook.com/Blacktivists","250010","2017-02-15","13:00:02","GMT-0500","27291","Facebook","repost @melaninvibez400 Facts.","https://www.facebook.com/blacktivists/posts/407044899638612\"
"543","Blacktivist","Facebook.com/Blacktivists","147038","2016-08-18","09:00:00","GMT-0400","27229","Facebook","In America, black children are just accidents waiting to happen to white police officers.","https://www.facebook.com/blacktivists/posts/314007008942402\"
"544","Blacktivist","Facebook.com/Blacktivists","332010","2017-05-24","10:00:00","GMT-0400","26835","Facebook","COP ATTACKS 76-YEAR-OLD BLACK GRANDMA FOR NOT STANDING UP FAST ENOUGH Another day, another disturbing video surfaces on social video. Cell phone video, recorded by a victim`s friend, shows a 75-year-old woman being forcefully pulled from her seat and then arrested by LA cops just because was sitting in the wrong section inside Union Station. The video shows cops approaching the elderly woman and asking her to leave. Minutes later, cops can be seen attacking the frail woman from a seat in an area reserved for train passengers who have purchased tickets. When a woman repeatedly told the authoritarian agents that she can`t stand without the assistance of her cane, they ignored her and locked handcuffs around her wrists. Then one of the cops proceeded to shove her head down in order to force cooperation and smashed it into the wooden chair. Then the woman can be heard screaming in pain. The 76-year-old disabled woman was literally brutally treated by cops for sitting in the ?wrong? spot on a train where there were plenty of empty seats. Moreover, the cops refused to honor her request to use the cane, thereby violated legal protections for people with disabilities. What a shame. If police aren`t killing or beating unarmed black boys or men then they are beating disabled black elderly women.","https://www.facebook.com/blacktivists/posts/455558384787263\"
"545","Blacktivist","Facebook.com/Blacktivists","222462","2016-12-22","12:00:00","GMT-0500","26360","Facebook","Never trade you brotherhood for this world.","https://www.facebook.com/blacktivists/posts/381524718857297\"
"546","Blacktivist","Facebook.com/Blacktivists","255740","2017-02-20","22:00:01","GMT-0500","25162","Facebook","repost @melaninvibez400","https://www.facebook.com/blacktivists/posts/409745182701917\"
"547","Blacktivist","Facebook.com/Blacktivists","136207","2016-08-08","10:30:00","GMT-0400","24776","Facebook","The African Dodger, or ?Hit the Nigger Baby? was one of the most popular games at the fairs and circuses as roller coasters are today. The purpose of the game was to throw baseballs at real live African American toddlers and win a prize. Killing Black children was always a tradition.","https://www.facebook.com/blacktivists/posts/306635443012892\"
"548","Blacktivist","Facebook.com/Blacktivists","219766","2016-12-15","12:00:00","GMT-0500","24615","Facebook","Someone`s grandma is killing it","https://www.facebook.com/blacktivists/posts/378155635860872\"
"549","Blacktivist","Facebook.com/Blacktivists","222897","2016-12-23","10:00:00","GMT-0500","24542","Facebook","Shaun Ross and Papis Loveday are the world`s darkest and lightest men. Both are African decent.","https://www.facebook.com/blacktivists/posts/381976072145495\"
"550","Blacktivist","Facebook.com/Blacktivists","196100","2016-11-01","15:00:02","GMT-0400","23394","Facebook","Look at these gorgeous queens in all shades.","https://www.facebook.com/blacktivists/posts/355419498134486\"
"551","Blacktivist","Facebook.com/Blacktivists","326937","2017-05-19","19:00:00","GMT-0400","23225","Facebook","repost @chakabars","https://www.facebook.com/blacktivists/posts/453350718341363\"
"552","Blacktivist","Facebook.com/Blacktivists","295779","2017-04-17","11:00:00","GMT-0400","21854","Facebook","All it takes is to believe.","https://www.facebook.com/blacktivists/posts/438019336541168\"
"554","Blacktivist","Facebook.com/Blacktivists","189532","2016-10-27","09:00:01","GMT-0400","21078","Facebook","Did you know that black women are now the most educated group in U.S?","https://www.facebook.com/blacktivists/posts/352458001763969\"
"555","Blacktivist","Facebook.com/Blacktivists","192483","2016-10-28","11:02:15","GMT-0400","20766","Facebook","If we borrow ""white privilege"""" for one night.""","https://www.facebook.com/blacktivists/posts/353036375039465\"
"556","Blacktivist","Facebook.com/Blacktivists","31914","2016-02-09","10:00:01","GMT-0500","20322","Facebook","The KKK still ?Kill at will?. This LEGAL organization keeps manufacturing a phobia of race to maintain their supremacy over us. Their mindset is built upon an ideology rooted in blind ignorance. I guess it works pretty much well in the US.","https://www.facebook.com/blacktivists/posts/215971278745976\"
"557","Blacktivist","Facebook.com/Blacktivists","196752","2016-11-02","16:30:00","GMT-0400","19958","Facebook","When a man in blue afraid of a person of color so he has to shoot him,- ""blue"""" lives don`t exist.""","https://www.facebook.com/blacktivists/posts/355892228087213\"
"558","Blacktivist","Facebook.com/Blacktivists","326937","2017-05-19","11:00:00","GMT-0400","19749","Facebook","How would we feel if another country bombed us for the poisoned water in Flint and for police brutality?","https://www.facebook.com/blacktivists/posts/453344471675321\"
"559","Blacktivist","Facebook.com/Blacktivists","62163","2016-05-10","13:00:00","GMT-0400","19458","Facebook","To all black people, you are beautiful.","https://www.facebook.com/blacktivists/posts/266334507042986\"
"560","Blacktivist","Facebook.com/Blacktivists","327854","2017-05-20","09:00:00","GMT-0400","19121","Facebook","The three-time Emmy-winning choreographer, actress, executive producer of Grey`s Anatomy Debbie Allen is 67-years-old and she is still teaching dance classes.","https://www.facebook.com/blacktivists/posts/451367841872984\"
"561","Blacktivist","Facebook.com/Blacktivists","239906","2017-02-07","11:00:02","GMT-0500","18409","Facebook","We do not want war or violence. We want eqaulity and peace.","https://www.facebook.com/blacktivists/posts/403480413328394\"
"562","Blacktivist","Facebook.com/Blacktivists","197108","2016-11-03","10:17:40","GMT-0400","18303","Facebook","Happy Birthday, real American! We believe in you!","https://www.facebook.com/blacktivists/posts/356457624697340\"
"563","Blacktivist","Facebook.com/Blacktivists","347147","2017-06-21","16:00:00","GMT-0400","18293","Facebook","repost @embracingblackculture","https://www.facebook.com/blacktivists/posts/470428703300231\"
"564","Blacktivist","Facebook.com/Blacktivists","270267","2017-03-18","16:00:00","GMT-0400","18014","Facebook","Who remembers watching this when it aired on Fresh Prince in 90s?","https://www.facebook.com/blacktivists/posts/418216815188087\"
"565","Blacktivist","Facebook.com/Blacktivists","200848","2016-11-22","08:00:00","GMT-0500","17967","Facebook","We were good enough for other things, but not for the equality. Do you have any words to describe how you feel when you look at this picture?","https://www.facebook.com/blacktivists/posts/365698573773245\"
"566","Blacktivist","Facebook.com/Blacktivists","231950","2017-02-02","09:00:02","GMT-0500","17016","Facebook","2 WRONGFULLY IMPRISONED BLACK MEN OPEN RESTAURANT AND NOW HELP WRONGFULLY CONVICTED According to CBS News reports, two NYC men who were wrongfully imprisoned for murders they didn`t commit now have become business partners in Brooklyn restaurant called Brownstone. Both men work together in order to help those who were also wrongfully convicted for something they didn?t commit. Derrick Hamilton and Shabaka Shakur became friends behind bars, where they worked together for more than 20 years as jailhouse lawyers studying law and exonerating those who were wrongfully convicted. Hamilton and Shakur helped free five other men, including Shakur. Shakur was jailed for a double homicide he didn`t commit. Hamilton was also convicted and jailed for a crime he never committed. Despite the fact that grave injustice both men faced, the pair show no bitterness. Both men want to help others and also prove everyone that people who were in prison are not liabilities but assets, that could go back into the community and be very productive citizens. The American prison population numbers about 2.4 million, where 5 percent of all is prisoners are innocent what makes 120,000 wrongfully convicted prisoners. Thus, it seems like no one really cares neither about them nor about the justice system.","https://www.facebook.com/blacktivists/posts/401272230215879\"
"567","Blacktivist","Facebook.com/Blacktivists","249147","2017-02-13","21:00:14","GMT-0500","16872","Facebook","repost @queenofpettysjt","https://www.facebook.com/blacktivists/posts/406303526379416\"
"568","Blacktivist","Facebook.com/Blacktivists","159516","2016-09-07","16:55:00","GMT-0400","16836","Facebook","I am not surprised at all. Sports media is still racist against black athletes.","https://www.facebook.com/blacktivists/posts/323941981282238\"
"569","Blacktivist","Facebook.com/Blacktivists","267282","2017-03-13","15:00:01","GMT-0400","16530","Facebook","repost @cococrispe","https://www.facebook.com/blacktivists/posts/417193391957096\"
"570","Blacktivist","Facebook.com/Blacktivists","301561","2017-04-25","10:00:00","GMT-0400","16454","Facebook","TEEN CHARGED FOR DEFENDING HIS HOME FROM THE INTRUDERS Juwan Alexander Plummer,19, has never been in trouble with the police. He was living his life and doing okay until earlier this month when he grabbed a gun to defend his mother and his 14-year-old brother from the robbers. Many will agree that he did a right thing, however, the court doesn`t because intruders were actually cops. After the incident, Plummer was charged with two counts each of Intentional Discharge of a Firearm in a Building Causing Serious Injury, Intentional Discharge of a Firearm in a Building Causing Injury and Felonious Assault. Moreover, the man who was trying to protect his family from robbers was charged with four counts of Felony Firearm on April 16. On April 16, police arrived at Plummer`s neighborhood after responding to several calls of burglaries in the area. Despite the fact that the break-ins were reported across the street, the police decided to check the Plummers` house as well. Plummers didn`t see the police lights. They called the police to report the burglary and then grabbed a shotgun for defense. Plummer, who feared for the safety of his family fired a warning shot but hit one officer in the arm and the other one in the face. It?s very unfortunate that a young man, who was trying to protect his family from robbers is facing decades behind bars. Plummer`s life is ruined just because he was protecting his family, just because he was doing a right thing. That was a reasonable act of self-defense and it?s not fair to charge the teen for this incident.","https://www.facebook.com/blacktivists/posts/442141989462236\"
"571","Blacktivist","Facebook.com/Blacktivists","231950","2017-02-02","10:00:00","GMT-0500","16067","Facebook","Educate your children on black culture and appropriation. #Blackisonfleek","https://www.facebook.com/blacktivists/posts/401198196889949\"
"572","Blacktivist","Facebook.com/Blacktivists","96130","2016-07-04","11:00:00","GMT-0400","16045","Facebook","If you decide to celebrate 4th of July today, read below. 4th of July was the day when American gained independence, but African Americans were still enslaved at that time. When we got freed, the government did not declare that a holiday. Know your history.","https://www.facebook.com/blacktivists/posts/292504461092657\"
"573","Blacktivist","Facebook.com/Blacktivists","283010","2017-03-31","20:00:00","GMT-0400","15897","Facebook","repost Unconditioned Roots","https://www.facebook.com/blacktivists/posts/428410797502022\"
"574","Blacktivist","Facebook.com/Blacktivists","231043","2017-01-29","08:00:04","GMT-0500","15760","Facebook","This video will bring you joy. #BlackLoveExists","https://www.facebook.com/blacktivists/posts/398388600504242\"
"575","Blacktivist","Facebook.com/Blacktivists","300981","2017-04-24","15:00:00","GMT-0400","15488","Facebook","Dear black girl! Love yourself, regardless of all the shit we get. Stay forever a beautiful queen.","https://www.facebook.com/blacktivists/posts/441602556182846\"
"576","Blacktivist","Facebook.com/Blacktivists","124410","2016-07-28","15:00:00","GMT-0400","14490","Facebook","So true, my people. We have been brainwashed to hate black people for too long.","https://www.facebook.com/blacktivists/posts/303777196632050\"
"577","Blacktivist","Facebook.com/Blacktivists","226931","2016-12-30","10:00:00","GMT-0500","14391","Facebook","This man has been dropping so much truth lately. Very well spoken, Denzel.","https://www.facebook.com/blacktivists/posts/384624765213959\"
"578","Blacktivist","Facebook.com/Blacktivists","151921","2016-08-25","11:00:00","GMT-0400","14369","Facebook","An ugly truth: For the entire history of the United States of America, Black people have faced a legal system that treats them differently than other citizens.","https://www.facebook.com/blacktivists/posts/317598121916624\"
"579","Blacktivist","Facebook.com/Blacktivists","197108","2016-11-03","11:00:01","GMT-0400","14310","Facebook","In America, you always feel like there is something wrong with being proud of your ethnicity that is often mistaken as hate.","https://www.facebook.com/blacktivists/posts/356373048039131\"
"580","Blacktivist","Facebook.com/Blacktivists","182351","2016-10-11","11:00:00","GMT-0400","14167","Facebook","It`s sad to realize that Facebook can teach you more about your ancestors than your school. Know the truth, because it might set you free.","https://www.facebook.com/blacktivists/posts/343791279297308\"
"581","Blacktivist","Facebook.com/Blacktivists","213213","2016-12-03","14:00:00","GMT-0500","14095","Facebook","She just beat it.","https://www.facebook.com/blacktivists/posts/369318210077948\"
"582","Blacktivist","Facebook.com/Blacktivists","152246","2016-08-26","16:55:00","GMT-0400","13863","Facebook","They want us to get over slavery while America carries currency with images of former slave owners. They will always remind us of these things.","https://www.facebook.com/blacktivists/posts/318114118531691\"
"583","Blacktivist","Facebook.com/Blacktivists","196752","2016-11-02","11:00:00","GMT-0400","13662","Facebook","The best costume for Halloween worth posting. Power to the People!","https://www.facebook.com/blacktivists/posts/355889104754192\"
"584","Blacktivist","Facebook.com/Blacktivists","259776","2017-02-27","17:00:01","GMT-0500","13354","Facebook","repost @naijalifemagazine","https://www.facebook.com/blacktivists/posts/412932775716491\"
"585","Blacktivist","Facebook.com/Blacktivists","228880","2017-01-17","13:00:00","GMT-0500","13058","Facebook","Who said black men aren`t good fathers?","https://www.facebook.com/blacktivists/posts/393076644368771\"
"586","Blacktivist","Facebook.com/Blacktivists","330011","2017-05-22","16:55:00","GMT-0400","13038","Facebook","Type of dolls every black girl should have.","https://www.facebook.com/blacktivists/posts/454444598231975\"
"587","Blacktivist","Facebook.com/Blacktivists","183135","2016-10-12","15:00:01","GMT-0400","12872","Facebook","This young woman who resembles an iconic activist, Angela Davis brought back good memories.","https://www.facebook.com/blacktivists/posts/344213539255082\"
"588","Blacktivist","Facebook.com/Blacktivists","326037","2017-05-18","16:55:00","GMT-0400","12694","Facebook","Bravo, black production house.","https://www.facebook.com/blacktivists/posts/452819528394482\"
"589","Blacktivist","Facebook.com/Blacktivists","256362","2017-02-22","01:41:35","GMT-0500","12584","Facebook","The world needs to acknowledge Black Holocaust. #StayWoke #BrotherForBorther #SissterForSister #StayTogether","https://www.facebook.com/blacktivists/posts/410543879288714\"
"590","Blacktivist","Facebook.com/Blacktivists","30419","2016-02-04","12:54:00","GMT-0500","12504","Facebook","Unarmed black man Amadou Diallo was killed by four New York City police officers who shot at him 41 times in the doorway of his Bronx apartment building in 1999. He had no criminal records but four officers hired to protect him easily killed innocent man. ?Mom, I am going to college? were his last words.","https://www.facebook.com/blacktivists/posts/213858598957244\"
"591","Blacktivist","Facebook.com/Blacktivists","0","2015-12-10","08:00:01","GMT-0500","12256","Facebook","KKK was terrorizing us decades before ISIS appeared. Our ancestors were lynched, their bodies were hung, burned and beheaded. But in America KKK still is legal organization continuing to horrify black community.","https://www.facebook.com/blacktivists/posts/188093598200411\"
"592","Blacktivist","Facebook.com/Blacktivists","291321","2017-04-08","12:00:00","GMT-0400","12245","Facebook","repost Blackslayingit","https://www.facebook.com/blacktivists/posts/433070507036051\"
"593","Blacktivist","Facebook.com/Blacktivists","152874","2016-08-27","15:00:01","GMT-0400","12164","Facebook","While the government is still failing Flint, this Virginia 2nd-grader raises $10k to bring hand sanitizer to #Flint schools.","https://www.facebook.com/blacktivists/posts/317004731975963\"
"594","Blacktivist","Facebook.com/Blacktivists","137492","2016-08-09","11:00:00","GMT-0400","12153","Facebook","The more force was necessary, the more likely the victim is to be black.","https://www.facebook.com/blacktivists/posts/309585172717919\"
"595","Blacktivist","Facebook.com/Blacktivists","252346","2017-02-17","08:00:07","GMT-0500","12022","Facebook","Just because dads are the best friends.","https://www.facebook.com/blacktivists/posts/408140442862391\"
"596","Blacktivist","Facebook.com/Blacktivists","17053","2016-01-05","14:00:01","GMT-0500","12002","Facebook","This is not funny when a black American is applying for refugee status in Canada, citing police racism.","https://www.facebook.com/blacktivists/posts/200237546986016\"
"597","Blacktivist","Facebook.com/Blacktivists","197636","2016-11-05","11:00:01","GMT-0400","11999","Facebook","There is such a beauty in black people.","https://www.facebook.com/blacktivists/posts/353636274979475\"
